gene	phenotype	dd.p	dd.fdr	direction	n_tumor_types	tumors	n_samples	n_mutated	mut_freq	mut.E1	mut.E0	E1	E0	alpha_e	cohort
RET	C4	0.700174690134025	1	up_in_subtype	11	BLCA,BRCA,COADREAD,GBM,HNSC,LUAD,LUSC,OV,PCPG,STAD,UCEC	4425	87	0.0197	6	81	382	4043	0.808496887671735	c076
PMS1	C4	0.741236808693933	1	up_in_subtype	4	BLCA,BRCA,LUAD,LUSC	2248	39	0.0173	3	36	144	2104	0.424460386241322	c175
NUP93	C4	0.750854643624707	1	up_in_subtype	4	BLCA,HNSC,LUSC,UCEC	1760	30	0.017	1	29	58	1702	0.497808030971655	c198
DHX9	C4	0.751954043821813	1	up_in_subtype	10	BLCA,BRCA,CESC,COADREAD,HNSC,LIHC,LUAD,LUSC,STAD,UCEC	4587	79	0.0172	10	69	337	4250	0.560142060959562	c068
LATS2	C4	0.764129637712403	1	up_in_rest	6	BLCA,LGG,LUAD,LUSC,MESO,UCEC	2271	40	0.0176	2	38	231	2040	-0.227236405924263	c177
SMAD4	C4	0.765895466020993	1	up_in_subtype	11	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,LUAD,LUSC,PAAD,PRAD,STAD	4524	175	0.0387	6	169	222	4302	0.387641713549535	c072
APC	C4	0.775484849067102	1	up_in_subtype	13	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,LIHC,LUAD,LUSC,OV,PRAD,STAD,UCEC	5261	516	0.0981	17	499	520	4741	0.199545829470527	c042
HIST1H1C	C4	0.783264552033784	1	up_in_subtype	4	BLCA,HNSC,LIHC,LUSC	1668	27	0.0162	3	24	195	1473	0.378849749137172	c205
PDGFRA	C4	0.788039258096789	1	up_in_subtype	13	BLCA,BRCA,COADREAD,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,OV,STAD,UCEC	5452	126	0.0231	18	108	635	4817	0.410688829479581	c034
INPPL1	C4	0.788678850853578	1	up_in_rest	7	BLCA,BRCA,COADREAD,HNSC,LUAD,LUSC,UCEC	3632	77	0.0212	2	75	171	3461	-0.604447931456278	c108
CREBBP	C4	0.802164142030714	1	up_in_subtype	14	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRP,LIHC,LUAD,LUSC,OV,STAD,UCEC	5296	218	0.0412	15	203	543	4753	0.29648220685216	c040
EEF2	C4	0.80942429278243	1	up_in_rest	5	BLCA,BRCA,HNSC,STAD,UCEC	2653	29	0.0109	1	28	143	2510	-0.38959170096433	c161
